ds,yhat,yhat_lower,yhat_upper,Category
2014-01-31,4859.81852660464,1731.5120168208834,7877.026667358682,Furniture
2014-02-28,1802.9591098848505,-1124.645698701541,4777.272113175004,Furniture
2014-03-31,11040.185675270488,7741.641569184689,13901.38834510803,Furniture
2014-04-30,7946.875177527768,4766.317608507395,10986.365985697628,Furniture
2014-05-31,9000.567332047056,5954.62175696016,12070.474884107809,Furniture
2014-06-30,10437.171754238178,7364.561097282591,13395.922722714722,Furniture
2014-07-31,10709.141724418172,7871.806260384328,13741.407879837598,Furniture
2014-08-31,8774.665175077145,5782.948652313239,11900.121443303982,Furniture
2014-09-30,24590.82506922718,21680.258308226796,27871.736710563375,Furniture
2014-10-31,12445.493757763155,9562.337492421557,15337.265716426497,Furniture
2014-11-30,27743.846479936343,24712.775732807408,30867.227256945614,Furniture
2014-12-31,26606.501763694017,23747.8063440685,29641.7893832496,Furniture
2015-01-31,7850.877084155234,5168.090463258873,10886.477975396505,Furniture
2015-02-28,3368.574993058717,160.87211396592392,6548.753871554972,Furniture
2015-03-31,13579.182093757649,10286.646314983709,16581.44893565842,Furniture
2015-04-30,9317.005184904294,6413.125408187014,11978.99917012691,Furniture
2015-05-31,8746.641866921893,5977.132099584695,11858.267728988387,Furniture
2015-06-30,10899.865029200108,7928.667740991566,13940.188759993453,Furniture
2015-07-31,13534.34163648959,10698.243217482577,16285.149858086554,Furniture
2015-08-31,9973.068667380707,7031.590454991749,13148.212446260293,Furniture
2015-09-30,26692.320531890677,23696.45483221685,29692.133177684445,Furniture
2015-10-31,14406.499747265883,11314.975345600438,17636.619155315017,Furniture
2015-11-30,28697.24456491915,25730.646815871354,31460.47155572779,Furniture
2015-12-31,25204.9445626887,22138.29482533093,28254.26081518582,Furniture
2016-01-31,10902.780756131886,7923.823125008601,13988.164363188449,Furniture
2016-02-29,4281.95719211313,1134.733753507454,7422.973543747964,Furniture
2016-03-31,11549.28979339686,8396.956568302257,14596.914555888723,Furniture
2016-04-30,10743.986334730436,7628.505787006663,13714.705489942358,Furniture
2016-05-31,15175.98061720671,12215.924180015118,18208.068552490982,Furniture
2016-06-30,15403.253740753087,12390.927213691808,18426.811841828647,Furniture
2016-07-31,10937.386762044036,7984.576664162261,13912.972647067147,Furniture
2016-08-31,12230.044133013154,9178.15571855153,15201.053677099342,Furniture
2016-09-30,26251.967979141722,23190.78464015692,29205.954999467005,Furniture
2016-10-31,14374.530768995755,11302.70415983257,17211.019738893072,Furniture
2016-11-30,31659.871486349366,28907.538008568954,34571.245643382135,Furniture
2016-12-31,35490.01531739296,32707.734356159082,38424.24545957348,Furniture
2017-01-31,7962.311014739202,4961.349865449284,10794.882851527016,Furniture
2017-02-28,6316.064041560599,3456.7116208171897,9265.335834531845,Furniture
2017-03-31,14599.989491753438,11575.682652617388,17436.285198614976,Furniture
2017-04-30,12686.624869885658,9645.305685097537,15615.387228878362,Furniture
2017-05-31,15436.48499765614,12366.899744070197,18548.53972013342,Furniture
2017-06-30,16257.978587782922,13219.59842704116,19064.848016923417,Furniture
2017-07-31,14190.419055257189,11188.1316367572,17152.563182864946,Furniture
2017-08-31,13902.203245059583,10948.325867098167,16795.102748461733,Furniture
2017-09-30,28846.120963206966,26002.782042756535,31959.854962586935,Furniture
2017-10-31,16864.97061563231,13748.13538834196,19784.176482922256,Furniture
2017-11-30,33189.249720008025,30147.486362955508,36111.804224044805,Furniture
2017-12-31,34521.35466558618,31668.274544136486,37337.34663528263,Furniture
2018-01-31,11383.80342963865,8353.775992713281,14303.701708694964,Furniture
2018-02-28,8364.19822777725,5449.638120514898,11477.25574192718,Furniture
